OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
7074,2003,CA,CDF,LNU,KELLY,5248,2003/07/26 00:00:00+00,2003/07/26 00:00:00+00,2,6,1,5.998993,,,,394,,2000,39676.92969,763.0162472
7075,2003,CA,CDF,LNU,SACKET,4110,2003/06/30 00:00:00+00,2003/06/30 00:00:00+00,2,2,1,192.4163,,,,211,,2000,1273654.969,4426.075713
7076,2003,CA,CDF,LNU,SILVERADO,8496,2003/10/29 00:00:00+00,2003/10/30 00:00:00+00,11,1,1,69.32242,,,,814,,2000,458838.0586,3387.872659
7077,2003,CA,CDF,LNU,CAPAY,4073,2003/06/29 00:00:00+00,2003/06/29 00:00:00+00,7,6,1,425.4226,,,,204,,2000,2832974.836,8251.610098
7078,2003,CA,CDF,LNU,CALPINE,8505,2003/10/29 00:00:00+00,2003/10/30 00:00:00+00,11,6,1,85.58295,,,,818,,2000,570551.8672,3607.045339
7079,2003,CA,CDF,LNU,MORGAN,5587,2003/08/05 00:00:00+00,2003/08/05 00:00:00+00,1,2,1,144.2492,,,,432,,2000,964906.7383,4970.427382
7080,2003,CA,CDF,LNU,FOURTY,4146,2003/07/01 00:00:00+00,2003/07/01 00:00:00+00,7,2,1,167.2532,,,,218,,2000,1119622.711,4238.566548
7081,2003,CA,CDF,LNU,40 FIRE,6629,2003/09/03 00:00:00+00,2003/09/03 00:00:00+00,7,2,1,1057.115,,,,591,,2000,7076608.648,15264.46307
7082,2003,CA,CDF,LNU,BRUSHY,6617,2003/09/03 00:00:00+00,2003/09/03 00:00:00+00,1,1,1,198.6972,,,,615,,2000,1330299.922,6850.914232
7083,2003,CA,CDF,LNU,SCOTTS,3878,2003/06/25 00:00:00+00,2003/06/25 00:00:00+00,7,6,1,22.91416,,,,173,,2000,154346.0156,1819.17852
7084,2003,CA,CDF,LNU,SITES,6644,2003/09/03 00:00:00+00,2003/09/04 00:00:00+00,1,2,1,389.7805,,,,600,,2000,2631456.801,9480.995429
7085,2003,CA,CDF,LNU,LOFTY,4019,2003/06/28 00:00:00+00,2003/06/28 00:00:00+00,8,1,1,42.13739,,,,195,,2000,278603.6211,2445.051079
7086,2003,CA,CDF,MEU,BELL,6599,2003/08/18 00:00:00+00,2003/08/19 00:00:00+00,7,1,1,102.2319,,,,207,,2000,702334.6211,3970.888818
7087,2003,CA,CDF,MEU,LIGHTNING #13,7167,2003/09/03 00:00:00+00,2003/09/05 00:00:00+00,1,1,1,10.33334,,,,253,,2000,70093.24609,1136.12905
7088,2003,CA,CDF,TCU,GREIG,4924,2003/07/13 00:00:00+00,2003/07/13 00:00:00+00,10,1,1,419.2588,,,,381,,2000,2707134.445,11443.43223
7089,2003,CA,CDF,TCU,COOPERSTOWN #2,4908,2003/07/12 00:00:00+00,2003/07/12 00:00:00+00,2,1,1,407.2738,,,,379,,2000,2636543.559,7358.958635
7090,2003,CA,CDF,TCU,CHUCKWAGON,4202,2003/06/25 00:00:00+00,2003/06/26 00:00:00+00,2,1,1,82.05084,,,,295,,2000,535463.668,4718.926281
7091,2003,CA,CDF,TCU,TURCHET,4391,2003/06/29 00:00:00+00,2003/07/01 00:00:00+00,2,1,1,52.92731,,,,315,,2000,347321.75,2842.008386
7092,2003,CA,CDF,TCU,TURNER,4234,2003/06/26 00:00:00+00,2003/06/26 00:00:00+00,2,1,1,11.82376,,,,302,,2000,77368.66797,1196.974424
7093,2003,CA,CDF,TCU,HIGHWAY,4890,2003/07/12 00:00:00+00,2003/07/12 00:00:00+00,10,1,1,142.2236,,,,373,,2000,934017.168,4107.965996
7094,2003,CA,CDF,TCU,LIGHTNING #23,6447,2003/08/26 00:00:00+00,2003/08/26 00:00:00+00,2,1,1,777.7275,,,,574,,2000,5041945.18,14892.626
